VisualizationID,VisualizationLink,ImageLink,Image,VisType,Caption,Team Generated Caption,Category
3C,https://homes.cs.washington.edu/~jheer//files/zoo/ex/maps/symbol.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Graduated Symbol Map,"Each state's population is represented as a pie with segments representing the number of residents with normal Body Mass Index (BMI < 24.9), the overweight population (25.0 < BMI < 29.9), and the obese population (30.0 < BMI). The pies can alternatively be shown as ""targets"" with the area of each annulus encoding the size of the respective populations.","In this graduated symbol map, each state's population is represented by a pie chart symbol, with segments indicating the distribution of residents based on Body Mass Index (BMI) categories. The size of each symbol corresponds to the total population of the state, while segments within the pie chart depict the proportion of individuals with a normal BMI (< 24.9), overweight population (25.0 < BMI < 29.9), and obese population (30.0 < BMI). ",3
3D,https://homes.cs.washington.edu/~jheer//files/zoo/ex/maps/cartogram.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Dorling Cartogram/Area Chart,"Absolute number of obese people per state and percentage of obese people, represented with circle area and color respectively. California dominates the map due to its large population size, while color indicates that Mississippi and Alabama are the states with the highest obesity rate.","This Dorling cartogram is a map that visually represents the absolute number of obese people per state and the percentage of obese people using circle area and color, respectively. Each state is depicted by a circle, with the size of the circle proportional to the absolute number of obese individuals residing in that state. Additionally, the color intensity of each circle reflects the percentage of obese people, with darker shades indicating higher obesity rates. ",3
4A,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/tree.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Node-link diagram / tree,The Flare package tree laid out in horizontal layers. All the nodes in a given layer are at the same package depth.,"A node-link diagram, also known as a network diagram or graph visualization, is a data visualization technique used to represent relationships between entities (nodes) and connections (links) among them. In a node-link diagram, nodes typically represent individual entities such as people, organizations, or concepts, while links represent relationships or interactions between these entities.The nodes are usually depicted as circles, squares, or other shapes, and the links are represented as lines or arcs connecting the nodes. The layout of the nodes and links can vary depending on the specific visualization technique used, but common layouts include radial, force-directed, or hierarchical arrangements.",4
4B,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/cluster-radial.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Radial Cluster Diagram,The Flare package tree laid out in radial layers. All the nodes in a given layer have the same maximum child depth.,"A radial clustered diagram is a data visualization technique used to display hierarchical or network data in a radial layout with clustered nodes. It is similar to a traditional radial tree diagram, but it incorporates clustering to group related nodes together, making complex structures more manageable and understandable.In a radial clustered diagram, nodes are arranged radially around a central point, with edges connecting them to illustrate relationships. Instead of displaying the entire hierarchy from the root node outward, nodes are grouped into clusters based on their similarities or connections. Each cluster forms a distinct ring around the central point, with nodes within the cluster positioned radially around it.",4
4C,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/indent.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Indented Tree,The Flare package tree laid out in an indented tree layout. All the nodes in a given vertical layer are at the same package depth. Click on the blue nodes to expand and collapse them.,"An indented tree, also known as an indented outline or outline tree, is a hierarchical data visualization method used to represent tree structures or nested data in a textual format. It organizes data into a hierarchical structure, similar to an outline format commonly used in writing.In an indented tree, each level of the hierarchy is represented by a different level of indentation. The root level is typically displayed at the far left, with subsequent levels indented to the right. Each node in the tree is represented by a label or text, and the indentation indicates the parent-child relationship between nodes.Indented trees are easy to read and understand, making them a popular choice for displaying hierarchical data in text-based formats such as documents, programming code, or configuration files.",4
4D,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/icicle.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Icicle Tree,The Flare package tree laid out in horizontal layers. The blocks are sized to correctly partition their containing package block by their size.,"
An icicle tree, also known as an icicle plot or icicle diagram, is a hierarchical data visualization technique used to represent tree structures or nested data in a rectangular layout. It is similar to a sunburst tree but is displayed in a vertical orientation instead of a radial layout.In an icicle tree, the hierarchy is represented as a series of nested rectangles, with each rectangle representing a level of the hierarchy. The root level is typically displayed at the top, with subsequent levels nested underneath. The width of each rectangle corresponds to the size or value of the data it represents, while the height represents the depth of the hierarchy.Icicle trees are often color-coded to represent different categories or attributes, and they can be interactive, allowing viewers to explore the hierarchy by expanding or collapsing branches. By visually encoding the hierarchical structure in this way, icicle trees provide an intuitive and space-efficient way to explore and understand complex hierarchical relationships within the data.",4
4E,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/sunburst.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Sunburst Tree,The Flare package tree laid out in progressive radial layout. The angles of the wedges are sized to correctly partition their parent wedge by their angle.,"A sunburst tree, also known simply as a sunburst chart or radial treemap, is a hierarchical data visualization technique used to represent hierarchical data in a circular layout. It is particularly effective for displaying tree structures or nested data with multiple levels of hierarchy.In a sunburst tree, the hierarchy is represented as a series of concentric circles, with each circle representing a level of the hierarchy. The outermost circle typically represents the root level, while subsequent circles represent deeper levels of the hierarchy. Each level is divided into segments, and the size of each segment corresponds to the proportion of the data it represents.The segments are arranged radially around the center of the circle, and they are often color-coded to represent different categories or attributes. By visually encoding the hierarchy in this way, sunburst trees allow viewers to explore and understand the structure of hierarchical data, as well as identify patterns and relationships between different levels of the hierarchy.",4
4F,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/treemap.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Treemap Layout,The Flare package tree laid out into recursively subdivided rectangles. The area of each rectangle corresponds to the package's size.,"A treemap is a data visualization technique used to represent hierarchical data in a hierarchical layout of nested rectangles. The size and color of each rectangle correspond to specific attributes of the data being visualized, such as the value of a numerical variable or the frequency of occurrence of a category.In a treemap, the top-level hierarchy is represented by the largest rectangle, which is subdivided into smaller rectangles that represent the next level of the hierarchy. This process continues recursively, with each rectangle subdivided into smaller rectangles to represent lower levels of the hierarchy. The size of each rectangle is proportional to the value of the data it represents, allowing viewers to quickly identify the most significant elements within the dataset.",4
4G,https://homes.cs.washington.edu/~jheer//files/zoo/ex/hierarchies/pack.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Nested Circles Tree,The Flare package tree recursively packed into circles.,"A nested circles tree, also known as a circular dendrogram or radial tree diagram, is a type of hierarchical data visualization that represents relationships between hierarchical data in a circular layout. It is often used to display tree structures, such as organizational hierarchies, taxonomies, or file directories.In a nested circles tree, the root node of the tree is typically positioned at the center of the circle, with its child nodes arranged around it in concentric circles. Each level of the hierarchy is represented by a ring of nodes, with child nodes positioned radially outward from their parent nodes. The connections between parent and child nodes are represented by lines or arcs extending from the parent node to the child nodes.Nested circles trees allow for the visualization of hierarchical relationships in a compact and intuitive manner. They provide a clear representation of the parent-child relationships within the hierarchy and can be easily interpreted by viewers. ",4
5A,https://homes.cs.washington.edu/~jheer//files/zoo/ex/networks/force.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,force-directed layout,Les Misérables character interaction presented as a force directed graph. Each character is represented by a circle and the connecting lines (or springs) represent interaction. The character's size indicates the number of interactions they have over the entire play. Drag or zoom the graph (using the mouse scroll wheel) to get a better view.,"A force-directed layout is a technique used in network visualization to arrange nodes (or vertices) and edges (or links) in a graph in a visually appealing and meaningful way. The layout is based on simulating physical forces among the elements of the network.In a force-directed layout, nodes are typically represented as points in space, and edges as lines connecting those points. The layout algorithm then applies forces to these points to simulate attraction and repulsion between connected and unconnected nodes, respectively. By iteratively adjusting the positions of nodes based on these forces, the layout algorithm aims to reach an equilibrium where nodes are evenly distributed and edges have minimal crossing. The result is a visually appealing arrangement that often reveals patterns, clusters, and structures within the network.",5
5B,https://homes.cs.washington.edu/~jheer//files/zoo/ex/networks/arc.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,arc diagram,Les Misérables character interaction. Each character is represented by a circle and the connecting arc represents co-occurrence in a chapter. The character's size indicates the number of appearances they have over the entire work.,"An arc diagram is a type of data visualization that represents relationships between entities by displaying them as arcs (curved lines) connecting related elements. Typically, the entities are arranged along a single axis, such as a horizontal or vertical line, with the arcs drawn between them based on their connections or interactions.Arc diagrams are particularly useful for visualizing networks or graphs, such as social networks, citation networks, or biological pathways, where the focus is on illustrating the connections between nodes rather than their spatial arrangement. By displaying connections as arcs, arc diagrams can reveal patterns, clusters, and structures within the data, providing insights into the relationships between different entities. They are commonly used in various fields, including data analysis, network science, and information visualization",5
5C,https://homes.cs.washington.edu/~jheer//files/zoo/ex/networks/matrix.html,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,matrix view,Les Misérables characters presented in an interaction matrix. Each character is represented by a row and a column in the matrix. An entry in the matrix is colored if it's row and column characters interact.,"A matrix view graph, also known as a heatmap or matrix plot, is a data visualization technique that displays data in a tabular format where values are represented as colors. It consists of a grid where rows and columns correspond to different categories, variables, or items being compared. Each cell in the grid is filled with a color that corresponds to the value of the data point it represents. Matrix view graphs are particularly useful for visualizing relationships, patterns, and trends in large datasets, especially when dealing with multidimensional data. They allow viewers to quickly identify areas of interest, outliers, or correlations between variables. Common applications of matrix view graphs include visualizing correlations in scientific research, analyzing customer behavior in marketing, and displaying performance metrics in business analytics",5
