,ImageViewed URL (please copy Column C in the next tab),Image,Task1Naming,Task1Meaning,Task1 Ground Truth,Category,,
19,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Circular branch chart,polar coordinates node-link / tree,Radial Cluster Diagram,4,,
20,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Circular tree diagram,polar coordinates node-link / tree,Radial Cluster Diagram,4,,
21,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Comparison Grid,matrix view,matrix view,5,,
22,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Completion percentages Turkers Amazon's Mechanical Turk,,Stem-and-Leaf plot,2,,
23,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Complition Distribution,Q-Q Plot,Q-Q plot,2,,
24,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Complition Distribution,Q-Q Plot,Q-Q plot,2,,
25,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Connected Graph,Force-directed layout,force-directed layout,5,,
26,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Connection chart,arc diagram,arc diagram,5,,
27,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,correlation map,,Q-Q plot,2,,
28,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Cumulative bar graph,small multiples,Small Multiples,1,,
29,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Data Plot,Q-Q plot,Q-Q plot,2,,
30,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,data source,indent tree,Indented Tree,4,,
31,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Density Map,,Choropleth Map,3,,
32,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Distance travelled graph,flow map / mpa,flow map / mpa,3,,
33,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Distribution,stem-and-leaf plot,Stem-and-Leaf plot,2,,
34,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,distribution map,relationship between two variables,Splom / scatterplot matrix,2,,
35,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,dorling cartogram,percentage of population,Dorling Cartogram/Area Chart,3,,
36,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Dorling Cartogram,Dorling Cartogram/area chart,Dorling Cartogram/Area Chart,3,,
37,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,dot graph,distribution of data,Splom / scatterplot matrix,2,,
38,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Dots best line fit,,Splom / scatterplot matrix,2,,
39,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Family Tree,icicle tree,Icicle Tree,4,,
40,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,File Hierarchy,indent tree,Indented Tree,4,,
41,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,File structure,Indented tree,Indented Tree,4,,
42,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Flare Chart,,Sunburst Tree,4,,
43,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,flare sphere,nested circle,Nested Circles Tree,4,,
44,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Floor plan,Tree map,Treemap Layout,4,,
45,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Flow map,,flow map / mpa,3,,
46,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Flow Map,Flow Map,flow map / mpa,3,,
47,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Geologic heat map,Chloroploth Map,Choropleth Map,3,,
48,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Graph,Arc Diagram,arc diagram,5,,
49,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Grouping Map,,Nested Circles Tree,4,,
50,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,heat map,,Choropleth Map,3,,
51,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Heat Map,choroploth map,Choropleth Map,3,,
52,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Heat Map,choropleth map,Choropleth Map,3,,
53,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph,,Horizon Graph,1,,
54,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph,Horizon,Horizon Graph,1,,
55,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,incontinental layers,icicle tree,Icicle Tree,4,,
56,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,index chart,visualize two variables,Index chart/line chart,1,,
57,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Inheritance diagram,Radial node-link diagram / tree,Node-link diagram / tree,4,,
58,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Leaf Node Graph,Stem and Leaf Plot,Stem-and-Leaf plot,2,,
59,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Les Miserables Character Interaction,,arc diagram,5,,
60,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,les miserables character interaction force directed graph,force-directed layout,force-directed layout,5,,
61,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,les miserables characters bar graph,matrix view,matrix view,5,,
62,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Line,Small Multiples,Small Multiples,1,,
63,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,line chart,change of unemployment,Stacked Graph,1,,
64,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,line chart,,Index chart/line chart,1,,
65,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,line chart,observe trend,Index chart/line chart,1,,
66,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,line chart,relationship between the two,Index chart/line chart,1,,
67,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,line chart,,Index chart/line chart,1,,
68,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line chart,Line chart,Index chart/line chart,1,,
69,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Line Correlation Chart,arc diagram,arc diagram,5,,
70,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Line Graph,,Q-Q plot,2,,
71,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Graph,Line chart,Index chart/line chart,1,,
72,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Graph,,Index chart/line chart,1,,
73,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Linear Graph,,Q-Q plot,2,,
74,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Linear Plot,,Q-Q plot,2,,
75,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Map,,flow map / mpa,3,,
76,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Map Chart,,Choropleth Map,3,,
77,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Map graph,Pie chart/ area chart,Graduated Symbol Map,3,,
78,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Obesity population map,,Graduated Symbol Map,3,,
79,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Matrix,Matrix view,matrix view,5,,
80,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Matrix Graph,matrix view,matrix view,5,,
81,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Mechanical Turk Participation Rates,stem-and-leaf plot,Stem-and-Leaf plot,2,,
82,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,multiple pie chart,,Graduated Symbol Map,3,,
83,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Napoleans March,flow map / mpa,flow map / mpa,3,,
84,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Napoleons March on Moscow,flow map / mpa,flow map / mpa,3,,
85,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,network graph,relationship,Radial Cluster Diagram,4,,
86,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,neural network,conditional graph,parallel Coordinates,2,,
87,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,neural network,i don't know,parallel Coordinates,2,,
88,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Nodal Analysis,Force-directed layout,force-directed layout,5,,
89,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Nodal Graph,arc diagram,arc diagram,5,,
90,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Node chart,,force-directed layout,5,,
91,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Number Graph,Stem and Leaf Plot,Stem-and-Leaf plot,2,,
92,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,obesity,pie chart / area chart,Graduated Symbol Map,3,,
93,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Obesity United States,Dorling Cartogram/area chart,Dorling Cartogram/Area Chart,3,,
94,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity Map,Choroploth Map,Choropleth Map,3,,
95,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity Map,choroploth map,Choropleth Map,3,,
96,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity per State,choroploth map,Choropleth Map,3,,
97,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Obesity percentages USA,pie chart / area chart,Graduated Symbol Map,3,,
98,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Obesity rates dot graph,area chart,Dorling Cartogram/Area Chart,3,,
99,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Obesity rates dot graph,area chart,Dorling Cartogram/Area Chart,3,,
100,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Organization parent child classes,,Sunburst Tree,4,,
101,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Packaged-list chart,indent tree,Indented Tree,4,,
102,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates,Parallel Coordinates,parallel Coordinates,2,,
103,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates Automobile Data,parallel Coordinates,parallel Coordinates,2,,
104,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,parallel Coordinates Automobile Data,parallel Coordinates,parallel Coordinates,2,,
105,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Correlation,,parallel Coordinates,2,,
106,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Pie Circle,nested circle,Nested Circles Tree,4,,
107,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,show percentage,Graduated Symbol Map,3,,
108,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie Chart,,Graduated Symbol Map,3,,
109,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,percentage,Graduated Symbol Map,3,,
110,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,nested proportion,Graduated Symbol Map,3,,
111,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,visualize percentage,Graduated Symbol Map,3,,
112,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie Chart,,Graduated Symbol Map,3,,
113,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,,Graduated Symbol Map,3,,
114,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie chart,Pie chart/ area chart,Graduated Symbol Map,3,,
115,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Pie Chart Breakdown,sunburst,Sunburst Tree,4,,
116,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie Map,pie chart / area chart,Graduated Symbol Map,3,,
117,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,pie tree,category,Radial Cluster Diagram,4,,
118,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Plot Chart,,Q-Q plot,2,,
119,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Plotted Co-occurrence,,arc diagram,5,,
120,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Plotted Line Graph,,Index chart/line chart,1,,
121,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Population map,,Choropleth Map,3,,
122,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,population map,,Choropleth Map,3,,
123,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,population map,,Choropleth Map,3,,
124,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Portion Chart,,Stacked Graph,1,,
125,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Probablity Matrix,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
126,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Probablity Matrix,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
127,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,q-q plot,percentage of x vs y,Q-Q plot,2,,
128,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Radial Graph,Sunburst,Sunburst Tree,4,,
129,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Radial Tree,Radial node-link diagram / tree,Radial Cluster Diagram,4,,
130,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Rates unumployment graph,Horizon,Horizon Graph,1,,
131,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,recursive circle,parent-child node,Nested Circles Tree,4,,
132,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,recursive rectangle,showing category,Treemap Layout,4,,
133,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Regression Chart,,Q-Q plot,2,,
134,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Relation Chart,,matrix view,5,,
135,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Round Graph,,Radial Cluster Diagram,4,,
136,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,relationship btw two variable,Splom / scatterplot matrix,2,,
137,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,,Splom / scatterplot matrix,2,,
138,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,,Splom / scatterplot matrix,2,,
139,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,scatter data,Splom / scatterplot matrix,2,,
140,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,,Splom / scatterplot matrix,2,,
141,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,,Splom / scatterplot matrix,2,,
142,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,,Splom / scatterplot matrix,2,,
143,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
144,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,,Splom / scatterplot matrix,2,,
145,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter plot,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
146,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Scatter plot,Q-Q plot,Q-Q plot,2,,
147,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot Matrix,Splom / scatterplot matrix,Splom / scatterplot matrix,2,,
148,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot Matrix Automobile Data,Splom / scatterplot matrix,Splom / scatterplot matrix,2,,
149,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Similarity chart,treemap,Treemap Layout,4,,
150,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Similarity chart,treemap,Treemap Layout,4,,
151,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Similarity circle chart,nested circle,Nested Circles Tree,4,,
152,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Some sort matrix,Matrix view,matrix view,5,,
153,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph,,Stacked Graph,1,,
154,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked graph,Stacked graph,Stacked Graph,1,,
155,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph Unemployed U.S. Workers Industry,stacked graph,Stacked Graph,1,,
156,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,stacked line chart,,Stacked Graph,1,,
157,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf,,Stem-and-Leaf plot,2,,
158,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf Graph,,Stem-and-Leaf plot,2,,
159,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf Plot,stem-and-leaf plot,Stem-and-Leaf plot,2,,
160,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Analysis,line,Index chart/line chart,1,,
161,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock gain line chart,Index chart/line chart,Index chart/line chart,1,,
162,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Graph,Index Graph,Index chart/line chart,1,,
163,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Growth,Index Graph,Index chart/line chart,1,,
164,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Growth,Index Graph,Index chart/line chart,1,,
165,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Market Graph,Line chart,Index chart/line chart,1,,
166,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Straight chart,Tree,Node-link diagram / tree,4,,
167,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Sun flare,Sunburst,Sunburst Tree,4,,
168,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Symbol Map,pie chart / area chart,Graduated Symbol Map,3,,
169,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Technology Stocks,Index chart/line chart,Index chart/line chart,1,,
170,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Time Graph,,Small Multiples,1,,
171,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree,Tree,Node-link diagram / tree,4,,
172,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree,Radial node-link diagram / tree,Node-link diagram / tree,4,,
173,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,tree,category,Node-link diagram / tree,4,,
174,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,tree,tree,Node-link diagram / tree,4,,
175,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Tree,,Indented Tree,4,,
176,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree,,Node-link diagram / tree,4,,
177,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree diagram,Radial node-link diagram / tree,Node-link diagram / tree,4,,
178,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree diagram,Tree,Node-link diagram / tree,4,,
179,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Tree diagram,Radial node-link diagram / tree,Radial Cluster Diagram,4,,
180,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,trend plot,,Q-Q plot,2,,
181,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment chart,stacked graph,Stacked Graph,1,,
182,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment rate,stacked graph,Stacked Graph,1,,
183,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Unemployment rate,Small Multiples,Small Multiples,1,,
184,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Unemployment Rate U.S. Workers Industry,small multiples,Small Multiples,1,,
185,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Unemployment rates time,horizon graph,Horizon Graph,1,,
186,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Uniform distribution comparison plot,Q-Q plot,Q-Q plot,2,,
187,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,US Unemployment Rate,horizon graph,Horizon Graph,1,,
188,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,USA Pie Chart,Pie Chart,Graduated Symbol Map,3,,
189,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Venn Diagram,,Nested Circles Tree,4,,
190,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Package tree,indent tree,Indented Tree,4,,
191,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Percentage graph,Q-Q plot,Q-Q plot,2,,
192,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Nodes graph,force-directed layout,force-directed layout,5,,
